Preprocessing,Model,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score,Total Data,Jumlah Fitur Awal,Jumlah Fitur Setelah Selection
prepo1_resize+grayscale,Random Forest,0.9591836734693877,0.8095238095238095,0.8097527472527473,0.8095238095238095,0.8077310924369747,140,28,10
prepo1_resize+grayscale,SVM,0.8571428571428571,0.9047619047619048,0.9183673469387754,0.9047619047619048,0.9024725274725275,140,28,10
prepo1_resize+grayscale,KNN,0.8469387755102041,0.8333333333333334,0.8488063660477455,0.8333333333333334,0.8277541083384053,140,28,10
prepo2_resize+grayscale+median,Random Forest,0.9693877551020408,0.7380952380952381,0.7482993197278912,0.7380952380952381,0.7394383394383395,140,28,14
prepo2_resize+grayscale+median,SVM,0.826530612244898,0.9047619047619048,0.9072802197802197,0.9047619047619048,0.9038655462184876,140,28,14
prepo2_resize+grayscale+median,KNN,0.8673469387755102,0.9523809523809523,0.956043956043956,0.9523809523809523,0.9519327731092437,140,28,14
prepo3_resize+grayscale+median+equ,Random Forest,0.9489795918367347,0.7380952380952381,0.7404380516508663,0.7380952380952381,0.7388482707631644,140,28,12
prepo3_resize+grayscale+median+equ,SVM,0.8163265306122449,0.8809523809523809,0.9014778325123152,0.8809523809523809,0.8769672202417182,140,28,12
prepo3_resize+grayscale+median+equ,KNN,0.7959183673469388,0.8333333333333334,0.8370370370370369,0.8333333333333334,0.8306595365418895,140,28,12
prepo4_resize+grayscale+median+sobel,Random Forest,0.9897959183673469,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,140,28,14
prepo4_resize+grayscale+median+sobel,SVM,0.826530612244898,0.7857142857142857,0.784873949579832,0.7857142857142857,0.7848396501457726,140,28,14
prepo4_resize+grayscale+median+sobel,KNN,0.7448979591836735,0.6428571428571429,0.640672268907563,0.6428571428571429,0.641399416909621,140,28,14
prepo5_resize+grayscale+median+sobel+thresholding,Random Forest,0.9489795918367347,0.7380952380952381,0.7404380516508663,0.7380952380952381,0.7388482707631644,140,28,7
prepo5_resize+grayscale+median+sobel+thresholding,SVM,0.8061224489795918,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,140,28,7
prepo5_resize+grayscale+median+sobel+thresholding,KNN,0.7346938775510204,0.6428571428571429,0.6456358287021903,0.6428571428571429,0.6438840055861332,140,28,7
